trip_id,user_id,car_id,start_latitude,start_longitude,end_latitude,end_longitude,start_address,end_address,distance_km,estimated_energy_kwh,actual_energy_kwh,duration_minutes,start_time,end_time,charging_stops,total_charging_time_minutes,cost_usd,weather,notes
trip_0040,user_041,car_041,39.699663,-104.947475,38.82567,-104.772028,"339 Main St, Denver","699 Pine Ave, Colorado Springs",120.6,24.5,18.58,90,2025-11-06T20:14:35.906313,2025-11-09T19:14:35.906313,1,14,7.56,Cloudy,Charged at station
trip_0041,user_042,car_042,34.038811,-118.208864,32.760392,-117.134452,"710 Main St, Los Angeles","838 Pine Ave, San Diego",205.36,42.85,41.63,154,2025-11-29T20:14:35.906313,2025-11-14T16:14:35.906313,1,27,13.91,Rainy,Smooth trip
trip_0042,user_043,car_043,29.731529,-95.377272,30.247309,-97.760331,"821 Oak St, Houston","313 Pine Ave, Austin",283.51,55.98,53.24,213,2025-11-08T20:14:35.906313,2025-11-18T19:14:35.906313,2,1,39.33,Windy,
trip_0043,user_044,car_044,34.070313,-118.200754,32.700198,-117.173696,"385 Main St, Los Angeles","179 Pine Ave, San Diego",199.12,43.25,40.1,149,2025-11-23T20:14:35.906840,2025-11-11T15:14:35.906840,1,13,27.29,Clear,Traffic delays
trip_0044,user_045,car_045,47.601421,-122.35703,45.505632,-122.667021,"478 Oak St, Seattle","598 Pine Ave, Portland",258.22,61.59,40.09,194,2025-11-13T20:14:35.906840,2025-11-29T16:14:35.906840,0,27,28.43,Rainy,Smooth trip
trip_0045,user_046,car_046,34.061084,-118.216864,32.703338,-117.111711,"132 Main St, Los Angeles","680 Maple Ave, San Diego",171.78,33.78,28.12,129,2025-12-05T20:14:35.906840,2025-11-30T16:14:35.906840,1,13,10.11,Cloudy,Smooth trip
trip_0046,user_047,car_047,32.822986,-96.843288,32.7395,-97.303681,"717 Main St, Dallas","407 Maple Ave, Fort Worth",54.26,10.33,13.59,41,2025-11-16T20:14:35.906840,2025-11-26T17:14:35.906840,1,21,5.76,Clear,Traffic delays
trip_0047,user_048,car_048,47.568216,-122.357174,45.497121,-122.661314,"170 Oak St, Seattle","717 Pine Ave, Portland",285.59,61.28,52.01,214,2025-11-28T20:14:35.906840,2025-11-20T15:14:35.906840,2,55,34.24,Cloudy,Traffic delays
trip_0048,user_049,car_049,37.762305,-122.370896,37.33302,-121.908624,"136 Main St, San Francisco","893 Pine Ave, San Jose",66.48,11.3,12.28,50,2025-11-12T20:14:35.906840,2025-11-10T17:14:35.906840,2,4,7.6,Cloudy,Smooth trip
trip_0049,user_050,car_050,37.80984,-122.405093,37.318135,-121.846314,"981 Oak St, San Francisco","126 Pine Ave, San Jose",65.73,12.91,11.48,49,2025-11-09T20:14:35.906840,2025-11-13T19:14:35.906840,2,30,7.44,Rainy,Charged at station
trip_0050,user_051,car_051,34.05834,-118.284351,32.725018,-117.157403,"324 Oak St, Los Angeles","549 Maple Ave, San Diego",204.97,34.41,50.65,154,2025-11-27T20:14:35.906840,2025-11-13T19:14:35.906840,2,8,15.93,Windy,
trip_0051,user_052,car_052,37.727563,-122.378545,37.293629,-121.905218,"596 Main St, San Francisco","409 Maple Ave, San Jose",66.99,12.38,16.32,50,2025-11-22T20:14:35.906840,2025-11-08T16:14:35.906840,2,43,8.08,Windy,Traffic delays
trip_0052,user_053,car_053,29.744633,-95.375106,30.269082,-97.781971,"648 Main St, Houston","980 Maple Ave, Austin",281.67,50.46,68.48,211,2025-11-13T20:14:35.906840,2025-12-02T17:14:35.906840,1,16,27.88,Cloudy,Traffic delays
trip_0053,user_054,car_054,47.647602,-122.368606,45.553953,-122.651995,"774 Oak St, Seattle","539 Pine Ave, Portland",257.7,41.21,38.58,193,2025-11-07T20:14:35.906840,2025-11-19T19:14:35.906840,0,10,27.81,Cloudy,
trip_0054,user_055,car_055,39.749304,-105.009734,38.814495,-104.831209,"280 Main St, Denver","287 Pine Ave, Colorado Springs",110.92,27.7,16.16,83,2025-11-16T20:14:35.906840,2025-11-06T19:14:35.906840,2,14,7.05,Cloudy,Charged at station
trip_0055,user_056,car_056,34.005371,-118.256491,32.76494,-117.155585,"338 Main St, Los Angeles","597 Pine Ave, San Diego",188.07,35.83,43.29,141,2025-12-01T20:14:35.906840,2025-11-15T18:14:35.906840,2,29,11.23,Cloudy,
trip_0056,user_057,car_057,47.602748,-122.354963,45.513403,-122.715113,"749 Main St, Seattle","316 Pine Ave, Portland",289.29,47.35,44.27,217,2025-11-19T20:14:35.906840,2025-12-05T17:14:35.906840,2,16,19.87,Rainy,
trip_0057,user_058,car_058,39.966541,-75.193866,38.88005,-77.034171,"657 Oak St, Philadelphia","111 Pine Ave, Washington DC",200.76,38.37,44.21,151,2025-12-04T20:14:35.906840,2025-11-10T18:14:35.906840,0,23,23.89,Cloudy,Smooth trip
trip_0058,user_059,car_059,39.756009,-105.01042,38.856846,-104.77266,"392 Main St, Denver","879 Pine Ave, Colorado Springs",101.71,20.64,24.54,76,2025-11-25T20:14:35.906840,2025-12-05T17:14:35.906840,0,19,5.51,Clear,Charged at station
trip_0059,user_060,car_060,39.751732,-104.943849,38.795172,-104.843008,"289 Oak St, Denver","283 Pine Ave, Colorado Springs",110.92,22.72,18.12,83,2025-11-09T20:14:35.906840,2025-11-11T17:14:35.906840,1,56,6.27,Clear,
trip_0060,user_001,car_061,39.720422,-104.98726,38.838725,-104.848133,"351 Main St, Denver","403 Maple Ave, Colorado Springs",115.56,19.98,23.21,87,2025-11-25T20:14:35.906840,2025-11-09T16:14:35.906840,0,27,7.92,Clear,Charged at station
trip_0061,user_002,car_062,39.777186,-105.039954,38.798529,-104.858585,"597 Oak St, Denver","921 Pine Ave, Colorado Springs",104.13,18.34,26.26,78,2025-11-09T20:14:35.906840,2025-11-15T16:14:35.906840,1,29,11.09,Clear,Charged at station
trip_0062,user_003,car_063,47.632248,-122.327311,45.503979,-122.634617,"792 Oak St, Seattle","767 Pine Ave, Portland",285.2,51.6,65.9,214,2025-12-04T20:14:35.906840,2025-11-12T15:14:35.906840,0,46,20.36,Windy,
trip_0063,user_004,car_064,37.753863,-122.390105,37.37151,-121.89948,"623 Main St, San Francisco","169 Maple Ave, San Jose",66.01,10.8,10.9,50,2025-11-26T20:14:35.906840,2025-11-19T16:14:35.906840,0,26,4.45,Rainy,Smooth trip
trip_0064,user_005,car_065,32.787664,-96.842702,32.717426,-97.282082,"488 Oak St, Dallas","302 Pine Ave, Fort Worth",45.46,9.7,11.39,34,2025-11-24T20:14:35.906840,2025-12-04T19:14:35.906840,2,35,5.73,Cloudy,Traffic delays
trip_0065,user_006,car_066,39.702605,-104.975159,38.78503,-104.802125,"297 Main St, Denver","320 Pine Ave, Colorado Springs",119.14,25.12,27.12,89,2025-11-28T20:14:35.906840,2025-11-21T19:14:35.906840,0,46,6.21,Rainy,Traffic delays
trip_0066,user_007,car_067,39.999975,-75.20812,38.918619,-77.02661,"924 Main St, Philadelphia","666 Maple Ave, Washington DC",226.21,48.95,37.94,170,2025-11-10T20:14:35.906840,2025-11-21T16:14:35.906840,0,29,13.0,Clear,
trip_0067,user_008,car_068,39.726366,-104.948773,38.826223,-104.85411,"103 Main St, Denver","253 Maple Ave, Colorado Springs",114.23,20.53,19.81,86,2025-11-08T20:14:35.906840,2025-11-30T16:14:35.906840,0,35,9.38,Windy,
trip_0068,user_009,car_069,39.762306,-104.987612,38.878589,-104.859121,"558 Oak St, Denver","980 Pine Ave, Colorado Springs",110.82,24.56,15.58,83,2025-11-19T20:14:35.906840,2025-11-10T16:14:35.906840,0,32,15.41,Cloudy,Traffic delays
trip_0069,user_010,car_070,32.74877,-96.801937,32.734633,-97.290311,"885 Main St, Dallas","952 Maple Ave, Fort Worth",52.65,11.82,13.34,39,2025-12-02T20:14:35.906840,2025-11-07T16:14:35.906840,2,6,5.24,Cloudy,
trip_0070,user_011,car_071,34.056868,-118.199874,32.723505,-117.143232,"578 Main St, Los Angeles","437 Pine Ave, San Diego",192.9,45.36,30.58,145,2025-11-09T20:14:35.906840,2025-11-08T19:14:35.906840,2,38,11.94,Windy,Charged at station
trip_0071,user_012,car_072,39.758917,-104.990753,38.808105,-104.812266,"220 Main St, Denver","346 Maple Ave, Colorado Springs",109.81,18.15,16.8,82,2025-11-18T20:14:35.906840,2025-11-10T17:14:35.906840,2,26,5.74,Cloudy,Charged at station
trip_0072,user_013,car_073,39.699837,-104.960646,38.828856,-104.858357,"332 Main St, Denver","291 Maple Ave, Colorado Springs",104.54,21.65,18.02,78,2025-11-22T20:14:35.906840,2025-11-27T17:14:35.906840,0,40,13.35,Cloudy,Smooth trip
trip_0073,user_014,car_074,33.722919,-84.359727,35.203101,-80.873857,"167 Main St, Atlanta","953 Pine Ave, Charlotte",407.45,87.83,72.55,306,2025-11-26T20:14:35.906840,2025-11-17T16:14:35.906840,2,26,45.1,Cloudy,Charged at station
trip_0074,user_015,car_075,39.705693,-105.024331,38.822162,-104.814292,"932 Main St, Denver","525 Pine Ave, Colorado Springs",109.97,17.88,24.87,82,2025-11-08T20:14:35.906840,2025-11-07T19:14:35.906840,2,7,8.0,Windy,Charged at station
trip_0075,user_016,car_076,32.788176,-96.778399,32.783969,-97.3761,"184 Oak St, Dallas","159 Pine Ave, Fort Worth",49.25,11.52,9.2,37,2025-11-13T20:14:35.906840,2025-11-26T16:14:35.906840,2,58,3.44,Cloudy,Smooth trip
trip_0076,user_017,car_077,33.717028,-84.359474,35.230206,-80.801884,"516 Oak St, Atlanta","653 Maple Ave, Charlotte",348.72,75.73,63.01,262,2025-11-28T20:14:35.906840,2025-12-04T16:14:35.906840,1,41,18.39,Windy,Traffic delays
trip_0077,user_018,car_078,40.757857,-73.961679,42.353776,-71.036159,"930 Main St, New York","146 Maple Ave, Boston",327.73,67.74,70.94,246,2025-11-22T20:14:35.906840,2025-11-13T18:14:35.906840,2,44,34.46,Clear,Traffic delays
trip_0078,user_019,car_079,39.973485,-75.172544,38.882012,-77.073443,"241 Main St, Philadelphia","229 Maple Ave, Washington DC",201.32,40.59,52.15,151,2025-11-13T20:14:35.906840,2025-11-09T18:14:35.906840,1,36,15.4,Cloudy,
trip_0079,user_020,car_080,37.748393,-122.394467,37.362739,-121.841656,"801 Main St, San Francisco","921 Maple Ave, San Jose",69.32,13.79,12.04,52,2025-12-04T20:14:35.906840,2025-12-02T15:14:35.906840,2,3,9.13,Clear,
trip_0080,user_021,car_001,29.781523,-95.416989,30.253077,-97.773549,"618 Main St, Houston","234 Pine Ave, Austin",266.54,42.01,58.13,200,2025-11-21T20:14:35.906840,2025-11-18T16:14:35.906840,2,11,15.8,Rainy,Smooth trip
trip_0081,user_022,car_002,33.717017,-84.390663,35.204183,-80.836121,"221 Oak St, Atlanta","520 Pine Ave, Charlotte",377.02,93.26,76.6,283,2025-12-03T20:14:35.906840,2025-11-25T16:14:35.906840,1,52,30.43,Windy,Traffic delays
trip_0082,user_023,car_003,40.712459,-74.043943,42.405652,-71.090242,"406 Main St, New York","763 Maple Ave, Boston",311.18,56.63,63.5,233,2025-11-14T20:14:35.906840,2025-11-22T16:14:35.906840,1,10,43.39,Clear,Traffic delays
trip_0083,user_024,car_004,37.725449,-122.395066,37.372195,-121.931781,"363 Main St, San Francisco","544 Pine Ave, San Jose",72.1,16.42,15.16,54,2025-11-26T20:14:35.906840,2025-11-26T15:14:35.906840,0,13,5.64,Windy,Smooth trip
trip_0084,user_025,car_005,41.857233,-87.649699,39.735069,-86.145807,"623 Main St, Chicago","114 Pine Ave, Indianapolis",309.64,75.47,66.97,232,2025-11-27T20:14:35.906840,2025-11-27T15:14:35.906840,1,33,41.19,Cloudy,
trip_0085,user_026,car_006,39.689714,-105.016414,38.816383,-104.808342,"369 Main St, Denver","243 Maple Ave, Colorado Springs",106.46,16.71,23.43,80,2025-11-23T20:14:35.906840,2025-11-14T18:14:35.906840,0,57,5.65,Clear,Traffic delays
trip_0086,user_027,car_007,47.636647,-122.339878,45.553006,-122.656191,"652 Main St, Seattle","746 Maple Ave, Portland",268.61,52.06,45.2,201,2025-11-22T20:14:35.906840,2025-11-24T18:14:35.906840,0,1,18.14,Windy,Traffic delays
trip_0087,user_028,car_008,34.059334,-118.258032,32.733821,-117.140367,"836 Oak St, Los Angeles","749 Pine Ave, San Diego",197.45,34.26,39.12,148,2025-11-18T20:14:35.906840,2025-11-19T18:14:35.906840,1,29,21.69,Cloudy,
trip_0088,user_029,car_009,41.878398,-87.662416,39.80446,-86.148263,"753 Oak St, Chicago","278 Pine Ave, Indianapolis",281.53,43.92,43.15,211,2025-12-02T20:14:35.906840,2025-11-12T16:14:35.906840,1,39,30.9,Clear,Smooth trip
trip_0089,user_030,car_010,47.559153,-122.292085,45.484199,-122.669088,"216 Main St, Seattle","261 Maple Ave, Portland",258.92,46.03,36.29,194,2025-11-10T20:14:35.907355,2025-11-14T19:14:35.907355,2,14,24.35,Cloudy,Charged at station
trip_0090,user_031,car_011,40.725341,-74.006224,42.395753,-71.093887,"741 Oak St, New York","794 Pine Ave, Boston",357.62,64.05,71.23,268,2025-11-09T20:14:35.907355,2025-11-11T16:14:35.907355,0,2,21.01,Windy,Charged at station
trip_0091,user_032,car_012,32.779862,-96.760662,32.755412,-97.306739,"498 Oak St, Dallas","680 Pine Ave, Fort Worth",49.88,11.57,8.37,37,2025-12-02T20:14:35.907355,2025-12-03T19:14:35.907355,2,32,7.38,Rainy,Traffic delays
trip_0092,user_033,car_013,32.812453,-96.773067,32.774088,-97.325746,"631 Oak St, Dallas","596 Maple Ave, Fort Worth",51.58,9.72,9.28,39,2025-11-23T20:14:35.907355,2025-11-15T17:14:35.907355,2,12,3.91,Windy,
trip_0093,user_034,car_014,34.050582,-118.215289,32.734442,-117.171024,"421 Main St, Los Angeles","184 Pine Ave, San Diego",204.81,44.76,33.98,154,2025-11-06T20:14:35.907355,2025-11-30T19:14:35.907355,1,31,21.69,Clear,Smooth trip
trip_0094,user_035,car_015,41.846835,-87.640088,39.817755,-86.180435,"749 Main St, Chicago","651 Maple Ave, Indianapolis",277.52,57.96,39.75,208,2025-11-07T20:14:35.907355,2025-11-18T17:14:35.907355,1,52,22.01,Clear,Traffic delays
trip_0095,user_036,car_016,33.743094,-84.424731,35.272908,-80.874413,"222 Oak St, Atlanta","347 Pine Ave, Charlotte",366.8,55.76,66.56,275,2025-11-20T20:14:35.907355,2025-11-20T19:14:35.907355,2,27,31.71,Clear,Charged at station
trip_0096,user_037,car_017,33.752268,-84.377041,35.233034,-80.833727,"213 Main St, Atlanta","574 Maple Ave, Charlotte",372.56,74.37,95.7,279,2025-11-14T20:14:35.907355,2025-12-05T18:14:35.907355,1,20,36.79,Clear,Smooth trip
trip_0097,user_038,car_018,47.584942,-122.299455,45.515377,-122.692912,"199 Main St, Seattle","285 Maple Ave, Portland",258.03,47.32,46.25,194,2025-11-12T20:14:35.907355,2025-11-16T18:14:35.907355,1,43,14.79,Cloudy,Charged at station
trip_0098,user_039,car_019,32.823099,-96.806718,32.776166,-97.354375,"425 Oak St, Dallas","817 Maple Ave, Fort Worth",45.87,8.46,10.64,34,2025-11-22T20:14:35.907355,2025-11-25T19:14:35.907355,2,51,2.62,Windy,Traffic delays
trip_0099,user_040,car_020,29.793525,-95.341725,30.236128,-97.737371,"886 Main St, Houston","332 Maple Ave, Austin",278.32,64.32,39.49,209,2025-11-17T20:14:35.907355,2025-11-09T15:14:35.907355,0,42,39.87,Rainy,Charged at station
trip_0100,user_041,car_021,37.750562,-122.376936,37.298477,-121.920843,"174 Main St, San Francisco","281 Maple Ave, San Jose",76.29,18.01,19.53,57,2025-12-03T20:14:35.907355,2025-11-23T18:14:35.907355,1,7,4.66,Clear,Traffic delays
trip_0101,user_042,car_022,39.708208,-105.025077,38.861866,-104.8651,"571 Main St, Denver","786 Maple Ave, Colorado Springs",111.95,25.89,28.71,84,2025-11-12T20:14:35.907355,2025-11-15T16:14:35.907355,1,15,9.54,Rainy,Smooth trip
trip_0102,user_043,car_023,37.802762,-122.402892,37.359876,-121.872347,"931 Oak St, San Francisco","385 Pine Ave, San Jose",74.92,18.62,17.11,56,2025-11-19T20:14:35.907355,2025-11-22T17:14:35.907355,1,12,10.46,Windy,Charged at station
trip_0103,user_044,car_024,41.839277,-87.636326,39.726327,-86.122988,"112 Oak St, Chicago","606 Maple Ave, Indianapolis",272.19,67.74,52.39,204,2025-11-27T20:14:35.907355,2025-12-03T15:14:35.907355,1,45,38.83,Clear,Smooth trip
trip_0104,user_045,car_025,37.750445,-122.387494,37.322399,-121.851396,"721 Main St, San Francisco","513 Maple Ave, San Jose",65.62,14.63,9.31,49,2025-11-27T20:14:35.907355,2025-11-29T18:14:35.907355,2,49,3.96,Rainy,Traffic delays
trip_0105,user_046,car_026,40.693709,-73.992463,42.407975,-71.061873,"770 Oak St, New York","944 Maple Ave, Boston",369.68,69.02,85.96,277,2025-11-14T20:14:35.907355,2025-12-04T16:14:35.907355,1,39,54.25,Rainy,Charged at station
trip_0106,user_047,car_027,34.029499,-118.261566,32.751538,-117.156556,"614 Oak St, Los Angeles","945 Pine Ave, San Diego",185.15,35.03,39.82,139,2025-11-17T20:14:35.907355,2025-11-21T19:14:35.907355,0,25,20.59,Cloudy,
trip_0107,user_048,car_028,39.726745,-104.983222,38.877523,-104.844637,"251 Oak St, Denver","820 Maple Ave, Colorado Springs",115.2,27.04,22.6,86,2025-11-23T20:14:35.907355,2025-11-17T17:14:35.907355,0,47,17.18,Rainy,
