car_id,user_id,make,model,year,license_plate,battery_capacity_kwh,efficiency_kwh_per_km,current_battery_percentage,car_type,vin,color,created_at
car_020,user_021,Chevrolet,Bolt EV,2021,EVS1289,66,0.166,71,truck,VIN5508807,White,2025-12-06T20:14:35.899627
car_021,user_022,Nissan,Leaf,2024,ECO9573,40,0.197,55,suv,VIN2208962,Black,2025-12-06T20:14:35.899627
car_022,user_023,Hyundai,Kona Electric,2023,ABC9773,58,0.185,56,hatchback,VIN5072861,Black,2025-12-06T20:14:35.899627
car_023,user_024,Tesla,Model 3,2022,ABC9197,75,0.171,81,truck,VIN3793281,Silver,2025-12-06T20:14:35.899627
car_024,user_025,Kia,Niro EV,2024,XYZ8508,100,0.163,34,suv,VIN1361213,Red,2025-12-06T20:14:35.899627
car_025,user_026,Ford,Mustang Mach-E,2024,EVS4650,68,0.213,44,truck,VIN2515749,Red,2025-12-06T20:14:35.899627
car_026,user_027,BMW,i7,2021,XYZ3235,70,0.194,25,hatchback,VIN5429681,Blue,2025-12-06T20:14:35.899627
car_027,user_028,Tesla,Model 3,2021,ABC7066,75,0.167,85,sedan,VIN2631872,White,2025-12-06T20:14:35.899627
car_028,user_029,Ford,F-150 Lightning,2020,ABC4056,98,0.217,40,truck,VIN3230070,Silver,2025-12-06T20:14:35.899627
car_029,user_030,Audi,e-tron GT,2020,EVS8556,95,0.209,50,hatchback,VIN4828175,White,2025-12-06T20:14:35.899627
car_030,user_031,Kia,Niro EV,2020,ABC3981,58,0.189,59,truck,VIN1010302,Silver,2025-12-06T20:14:35.899627
car_031,user_032,Volkswagen,ID.4,2020,EVS6976,62,0.184,65,hatchback,VIN6619082,Blue,2025-12-06T20:14:35.899627
car_032,user_033,Audi,e-tron,2024,ABC9572,95,0.202,21,truck,VIN6441491,Silver,2025-12-06T20:14:35.899627
car_033,user_034,Tesla,Model X,2022,ABC5357,60,0.179,94,sedan,VIN9172222,Silver,2025-12-06T20:14:35.899627
car_034,user_035,Ford,Mustang Mach-E,2022,ECO6143,68,0.185,59,suv,VIN7559575,Black,2025-12-06T20:14:35.899627
car_035,user_036,Rivian,R1T,2024,XYZ4182,105,0.234,27,truck,VIN2997451,White,2025-12-06T20:14:35.899627
car_036,user_037,Rivian,R1T,2023,ECO1168,105,0.257,38,suv,VIN7924180,White,2025-12-06T20:14:35.899627
car_037,user_038,Kia,Niro EV,2022,ECO4228,100,0.165,100,hatchback,VIN7511310,Gray,2025-12-06T20:14:35.899627
car_038,user_039,Nissan,Leaf,2020,ABC8111,40,0.176,34,hatchback,VIN8532642,Gray,2025-12-06T20:14:35.900140
car_039,user_040,Tesla,Model 3,2020,XYZ6904,60,0.179,86,suv,VIN9151769,White,2025-12-06T20:14:35.900140
car_040,user_041,Ford,Mustang Mach-E,2023,ABC8505,98,0.194,21,hatchback,VIN8067753,Red,2025-12-06T20:14:35.900140
car_041,user_042,Nissan,Leaf,2020,ABC8853,62,0.184,84,hatchback,VIN5939636,Blue,2025-12-06T20:14:35.900140
car_042,user_043,Tesla,Model S,2022,XYZ2899,100,0.167,61,hatchback,VIN3591118,White,2025-12-06T20:14:35.900140
car_043,user_044,BMW,i7,2022,XYZ8517,105,0.227,90,truck,VIN6820891,Red,2025-12-06T20:14:35.900140
car_044,user_045,Rivian,R1S,2023,ECO4444,135,0.221,76,suv,VIN2906117,Silver,2025-12-06T20:14:35.900140
car_045,user_046,Rivian,R1T,2023,ABC1925,105,0.222,83,suv,VIN1524888,Black,2025-12-06T20:14:35.900140
car_046,user_047,Nissan,Ariya,2021,EVS6556,62,0.19,93,sedan,VIN3250910,Blue,2025-12-06T20:14:35.900140
car_047,user_048,Kia,EV6,2020,XYZ7499,58,0.173,64,hatchback,VIN9543884,Black,2025-12-06T20:14:35.900140
car_048,user_049,Nissan,Ariya,2023,ABC1363,62,0.177,47,suv,VIN1923095,Blue,2025-12-06T20:14:35.900140
car_049,user_050,Hyundai,Ioniq 5,2023,ECO2085,58,0.186,73,hatchback,VIN8385701,White,2025-12-06T20:14:35.900140
car_050,user_051,Kia,EV9,2024,EVS2958,58,0.174,22,hatchback,VIN3744781,Black,2025-12-06T20:14:35.900140
car_051,user_052,Kia,Niro EV,2022,XYZ7971,77,0.178,72,hatchback,VIN3880129,Silver,2025-12-06T20:14:35.900140
car_052,user_053,Nissan,Leaf,2023,ABC3477,62,0.185,52,hatchback,VIN1861189,Silver,2025-12-06T20:14:35.900140
car_053,user_054,BMW,i4,2021,XYZ5783,70,0.2,94,suv,VIN2633297,Gray,2025-12-06T20:14:35.900140
car_054,user_055,Audi,e-tron GT,2020,ABC8811,95,0.206,99,suv,VIN9971110,Gray,2025-12-06T20:14:35.900140
car_055,user_056,Kia,EV6,2020,ECO8144,77,0.169,95,sedan,VIN2014508,Gray,2025-12-06T20:14:35.900140
car_056,user_057,Audi,e-tron GT,2021,XYZ6341,71,0.207,61,suv,VIN7785746,Gray,2025-12-06T20:14:35.900140
car_057,user_058,Audi,e-tron GT,2023,EVS1646,95,0.213,34,truck,VIN8755888,Red,2025-12-06T20:14:35.900140
car_058,user_059,Audi,e-tron GT,2021,EVS2134,106,0.225,34,truck,VIN7299747,Black,2025-12-06T20:14:35.900140
car_059,user_060,Audi,Q4 e-tron,2022,ABC2220,71,0.209,68,suv,VIN1581519,Silver,2025-12-06T20:14:35.900140
car_060,user_001,Ford,Mustang Mach-E,2023,XYZ7560,68,0.215,45,truck,VIN7571815,White,2025-12-06T20:14:35.900140
car_061,user_002,Hyundai,Kona Electric,2023,ECO9851,77,0.175,97,suv,VIN3102476,Black,2025-12-06T20:14:35.900140
car_062,user_003,Kia,EV9,2021,XYZ8222,100,0.179,24,hatchback,VIN4702046,Blue,2025-12-06T20:14:35.900140
car_063,user_004,Ford,Mustang Mach-E,2023,XYZ3948,98,0.216,56,truck,VIN5731092,White,2025-12-06T20:14:35.900140
car_064,user_005,Tesla,Model 3,2021,EVS5115,100,0.163,83,sedan,VIN5347464,Silver,2025-12-06T20:14:35.900140
car_065,user_006,Nissan,Ariya,2020,ABC2379,62,0.191,60,truck,VIN2895504,Red,2025-12-06T20:14:35.900140
car_066,user_007,Nissan,Leaf,2022,ECO9650,40,0.197,53,sedan,VIN6716504,Gray,2025-12-06T20:14:35.900140
car_067,user_008,Rivian,R1T,2022,XYZ4600,135,0.223,64,sedan,VIN7988222,Red,2025-12-06T20:14:35.900140
car_068,user_009,Ford,F-150 Lightning,2024,EVS5882,98,0.185,33,suv,VIN4610709,Gray,2025-12-06T20:14:35.900140
car_069,user_010,Nissan,Ariya,2024,ECO9533,40,0.199,44,suv,VIN6183023,Blue,2025-12-06T20:14:35.900140
car_070,user_011,Kia,EV6,2023,ECO5089,100,0.17,78,suv,VIN7717053,Red,2025-12-06T20:14:35.900140
car_071,user_012,Rivian,R1T,2021,XYZ2332,105,0.224,66,sedan,VIN9876019,Silver,2025-12-06T20:14:35.900140
car_072,user_013,Kia,EV9,2024,ABC6540,100,0.179,60,hatchback,VIN7641973,Black,2025-12-06T20:14:35.900140
car_073,user_014,Nissan,Ariya,2021,XYZ6715,62,0.176,89,sedan,VIN9180765,White,2025-12-06T20:14:35.900140
car_074,user_015,Nissan,Leaf,2023,XYZ1051,40,0.185,36,sedan,VIN4031142,White,2025-12-06T20:14:35.900140
car_075,user_016,Kia,Niro EV,2022,XYZ5807,58,0.161,78,sedan,VIN2360435,White,2025-12-06T20:14:35.900140
car_076,user_017,Tesla,Model X,2022,ABC1824,100,0.164,85,suv,VIN4647116,Red,2025-12-06T20:14:35.900140
car_077,user_018,Hyundai,Ioniq 6,2023,EVS2649,77,0.17,52,truck,VIN2656619,Silver,2025-12-06T20:14:35.900140
car_078,user_019,Hyundai,Kona Electric,2021,ECO4511,58,0.172,40,sedan,VIN2406800,Gray,2025-12-06T20:14:35.900140
car_079,user_020,Chevrolet,Bolt EV,2022,ECO8628,66,0.177,94,truck,VIN9611261,Blue,2025-12-06T20:14:35.900140
car_080,user_021,Audi,e-tron GT,2023,ECO5425,71,0.224,63,truck,VIN6188318,Silver,2025-12-06T20:14:35.900140
